TID: [-1234] [2021-05-10 01:15:34,524]  INFO {API_LOGGER.delivery_API} - Initializing API: delivery_API
TID: [-1234] [2021-05-10 01:15:34,734]  INFO {API_LOGGER.HealthcareAPI} - Destroying API: HealthcareAPI
TID: [-1234] [2021-05-10 01:15:34,736]  INFO {API_LOGGER.delivery_API} - Destroying API: delivery_API
TID: [-1234] [2021-05-10 01:15:34,740]  INFO {API_LOGGER.test2} - Destroying API: test2
TID: [-1234] [2021-05-10 01:15:34,847]  INFO {API_LOGGER.HealthcareAPI} - Destroying API: HealthcareAPI
TID: [-1234] [2021-05-10 01:15:34,848]  INFO {API_LOGGER.delivery_API} - Destroying API: delivery_API
TID: [-1234] [2021-05-10 01:15:34,848]  INFO {API_LOGGER.user_API} - Destroying API: user_API
TID: [-1234] [2021-05-10 01:15:34,849]  INFO {API_LOGGER.test2} - Destroying API: test2
TID: [-1234] [2021-05-10 19:20:52,466]  INFO {API_LOGGER.delivery_API} - Initializing API: delivery_API
TID: [-1234] [2021-05-10 19:20:52,473]  INFO {API_LOGGER.user_API} - Initializing API: user_API
TID: [-1234] [2021-05-10 19:20:52,491]  INFO {API_LOGGER.test2} - Initializing API: test2
TID: [-1234] [2021-05-10 19:20:52,501]  INFO {API_LOGGER.news} - Initializing API: news
TID: [-1234] [2021-05-10 19:20:52,592]  INFO {API_LOGGER.HealthcareAPI} - Initializing API: HealthcareAPI
TID: [-1234] [2021-05-10 19:22:35,935]  INFO {API_LOGGER.delivery_API} - message = case api logged
TID: [-1234] [2021-05-10 19:22:35,935]  INFO {API_LOGGER.delivery_API} - message = case api logged
TID: [-1234] [2021-05-10 19:22:35,964]  INFO {API_LOGGER.delivery_API} - message = logging into the cities api end point
TID: [-1234] [2021-05-10 19:22:35,964]  INFO {API_LOGGER.delivery_API} - message = logging into the states endpoint
TID: [-1234] [2021-05-10 21:36:28,143]  INFO {API_LOGGER.HealthcareAPI} - Destroying API: HealthcareAPI
TID: [-1234] [2021-05-10 21:36:28,144]  INFO {API_LOGGER.delivery_API} - Destroying API: delivery_API
TID: [-1234] [2021-05-10 21:36:28,153]  INFO {API_LOGGER.user_API} - Destroying API: user_API
TID: [-1234] [2021-05-10 21:36:28,154]  INFO {API_LOGGER.test2} - Destroying API: test2
TID: [-1234] [2021-05-14 19:33:31,229]  INFO {API_LOGGER.delivery_API} - Initializing API: delivery_API
TID: [-1234] [2021-05-14 19:33:31,245]  INFO {API_LOGGER.user_API} - Initializing API: user_API
TID: [-1234] [2021-05-14 19:33:31,270]  INFO {API_LOGGER.test2} - Initializing API: test2
TID: [-1234] [2021-05-14 19:33:31,283]  INFO {API_LOGGER.news} - Initializing API: news
TID: [-1234] [2021-05-14 19:33:31,417]  INFO {API_LOGGER.HealthcareAPI} - Initializing API: HealthcareAPI
TID: [-1234] [2021-05-14 19:36:53,928]  INFO {API_LOGGER.delivery_API} - message = logged into the delivery-pending api
TID: [-1234] [2021-05-14 19:36:59,176]  INFO {API_LOGGER.delivery_API} - message = case api logged
TID: [-1234] [2021-05-14 19:36:59,176]  INFO {API_LOGGER.delivery_API} - message = case api logged
TID: [-1234] [2021-05-14 19:36:59,217]  INFO {API_LOGGER.delivery_API} - message = logging into the states endpoint
TID: [-1234] [2021-05-14 19:36:59,217]  INFO {API_LOGGER.delivery_API} - message = logging into the cities api end point
TID: [-1234] [2021-05-14 19:42:31,689]  INFO {API_LOGGER.delivery_API} - Initializing API: delivery_API
TID: [-1234] [2021-05-14 19:42:31,696]  INFO {API_LOGGER.location_API} - Initializing API: location_API
TID: [-1234] [2021-05-14 19:42:31,702]  INFO {API_LOGGER.user_API} - Initializing API: user_API
TID: [-1234] [2021-05-14 19:42:50,091]  INFO {API_LOGGER.location_API} - message = logged into the locations api
TID: [-1234] [2021-05-14 21:09:49,128]  INFO {API_LOGGER.HealthcareAPI} - Destroying API: HealthcareAPI
TID: [-1234] [2021-05-14 21:09:49,130]  INFO {API_LOGGER.location_API} - Destroying API: location_API
TID: [-1234] [2021-05-14 21:09:49,132]  INFO {API_LOGGER.delivery_API} - Destroying API: delivery_API
TID: [-1234] [2021-05-14 21:09:49,142]  INFO {API_LOGGER.user_API} - Destroying API: user_API
TID: [-1234] [2021-05-14 21:09:49,143]  INFO {API_LOGGER.test2} - Destroying API: test2
TID: [-1234] [2021-05-16 19:53:49,123]  INFO {API_LOGGER.delivery_API} - Initializing API: delivery_API
TID: [-1234] [2021-05-16 19:53:49,130]  INFO {API_LOGGER.location_API} - Initializing API: location_API
TID: [-1234] [2021-05-16 19:53:49,140]  INFO {API_LOGGER.user_API} - Initializing API: user_API
TID: [-1234] [2021-05-16 19:53:49,161]  INFO {API_LOGGER.test2} - Initializing API: test2
TID: [-1234] [2021-05-16 19:53:49,175]  INFO {API_LOGGER.news} - Initializing API: news
TID: [-1234] [2021-05-16 19:53:49,310]  INFO {API_LOGGER.HealthcareAPI} - Initializing API: HealthcareAPI
TID: [-1234] [2021-05-16 20:08:33,185]  INFO {API_LOGGER.location_API} - message = logged into the locations api
TID: [-1234] [2021-05-16 20:08:43,150]  INFO {API_LOGGER.delivery_API} - message = case api logged
TID: [-1234] [2021-05-16 20:08:43,151]  INFO {API_LOGGER.delivery_API} - message = case api logged
TID: [-1234] [2021-05-16 20:08:43,186]  INFO {API_LOGGER.delivery_API} - message = logging into the states endpoint
TID: [-1234] [2021-05-16 20:08:43,186]  INFO {API_LOGGER.delivery_API} - message = logging into the cities api end point
TID: [-1234] [2021-05-16 20:08:53,872]  INFO {API_LOGGER.location_API} - message = logged into the locations api
TID: [-1234] [2021-05-16 20:48:23,643]  INFO {API_LOGGER.HealthcareAPI} - Destroying API: HealthcareAPI
TID: [-1234] [2021-05-16 20:48:23,645]  INFO {API_LOGGER.location_API} - Destroying API: location_API
TID: [-1234] [2021-05-16 20:48:23,647]  INFO {API_LOGGER.delivery_API} - Destroying API: delivery_API
TID: [-1234] [2021-05-16 20:48:23,653]  INFO {API_LOGGER.user_API} - Destroying API: user_API
TID: [-1234] [2021-05-16 20:48:23,654]  INFO {API_LOGGER.test2} - Destroying API: test2
TID: [-1234] [2021-05-19 13:05:29,724]  INFO {API_LOGGER.delivery_API} - Initializing API: delivery_API
TID: [-1234] [2021-05-19 13:05:29,729]  INFO {API_LOGGER.location_API} - Initializing API: location_API
TID: [-1234] [2021-05-19 13:05:29,739]  INFO {API_LOGGER.user_API} - Initializing API: user_API
TID: [-1234] [2021-05-19 13:05:29,753]  INFO {API_LOGGER.test2} - Initializing API: test2
TID: [-1234] [2021-05-19 13:05:29,765]  INFO {API_LOGGER.news} - Initializing API: news
TID: [-1234] [2021-05-19 13:05:29,908]  INFO {API_LOGGER.HealthcareAPI} - Initializing API: HealthcareAPI
TID: [-1234] [2021-05-19 21:17:21,987]  INFO {API_LOGGER.HealthcareAPI} - Destroying API: HealthcareAPI
TID: [-1234] [2021-05-19 21:17:21,988]  INFO {API_LOGGER.location_API} - Destroying API: location_API
TID: [-1234] [2021-05-19 21:17:21,988]  INFO {API_LOGGER.delivery_API} - Destroying API: delivery_API
TID: [-1234] [2021-05-19 21:17:21,989]  INFO {API_LOGGER.user_API} - Destroying API: user_API
TID: [-1234] [2021-05-19 21:17:21,990]  INFO {API_LOGGER.test2} - Destroying API: test2
TID: [-1234] [2021-05-20 12:15:13,724]  INFO {API_LOGGER.delivery_API} - Initializing API: delivery_API
TID: [-1234] [2021-05-20 12:15:13,729]  INFO {API_LOGGER.location_API} - Initializing API: location_API
TID: [-1234] [2021-05-20 12:15:13,739]  INFO {API_LOGGER.user_API} - Initializing API: user_API
TID: [-1234] [2021-05-20 12:15:13,754]  INFO {API_LOGGER.test2} - Initializing API: test2
